USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1 166640  8064 ?        Ss   10:37   0:02 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    10:37   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   10:37   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   10:37   0:00 [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   10:37   0:00 [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   10:37   0:00 [netns]
root          11  0.0  0.0      0     0 ?        I<   10:37   0:00 [mm_percpu_wq]
root          12  0.0  0.0      0     0 ?        I    10:37   0:00 [rcu_tasks_kthread]
root          13  0.0  0.0      0     0 ?        I    10:37   0:00 [rcu_tasks_rude_kthread]
root          14  0.0  0.0      0     0 ?        I    10:37   0:00 [rcu_tasks_trace_kthread]
root          15  0.0  0.0      0     0 ?        S    10:37   0:00 [ksoftirqd/0]
root          16  0.0  0.0      0     0 ?        I    10:37   0:08 [rcu_preempt]
root          17  0.0  0.0      0     0 ?        S    10:37   0:00 [migration/0]
root          18  0.0  0.0      0     0 ?        S    10:37   0:00 [idle_inject/0]
root          19  0.0  0.0      0     0 ?        S    10:37   0:00 [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    10:37   0:00 [cpuhp/2]
root          21  0.0  0.0      0     0 ?        S    10:37   0:00 [idle_inject/2]
root          22  0.0  0.0      0     0 ?        S    10:37   0:00 [migration/2]
root          23  0.0  0.0      0     0 ?        S    10:37   0:00 [ksoftirqd/2]
root          26  0.0  0.0      0     0 ?        S    10:37   0:00 [cpuhp/4]
root          27  0.0  0.0      0     0 ?        S    10:37   0:00 [idle_inject/4]
root          28  0.0  0.0      0     0 ?        S    10:37   0:00 [migration/4]
root          29  0.0  0.0      0     0 ?        S    10:37   0:00 [ksoftirqd/4]
root          32  0.0  0.0      0     0 ?        S    10:37   0:00 [cpuhp/6]
root          33  0.0  0.0      0     0 ?        S    10:37   0:00 [idle_inject/6]
root          34  0.0  0.0      0     0 ?        S    10:37   0:00 [migration/6]
root          35  0.0  0.0      0     0 ?        S    10:37   0:00 [ksoftirqd/6]
root          38  0.0  0.0      0     0 ?        S    10:37   0:00 [cpuhp/1]
root          39  0.0  0.0      0     0 ?        S    10:37   0:00 [idle_inject/1]
root          40  0.0  0.0      0     0 ?        S    10:37   0:00 [migration/1]
root          41  0.0  0.0      0     0 ?        S    10:37   0:00 [ksoftirqd/1]
root          44  0.0  0.0      0     0 ?        S    10:37   0:00 [cpuhp/3]
root          45  0.0  0.0      0     0 ?        S    10:37   0:00 [idle_inject/3]
root          46  0.0  0.0      0     0 ?        S    10:37   0:00 [migration/3]
root          47  0.0  0.0      0     0 ?        S    10:37   0:00 [ksoftirqd/3]
root          50  0.0  0.0      0     0 ?        S    10:37   0:00 [cpuhp/5]
